"","year","County","PRCP","GoodTmpDay","Avrg_TMP_Gap","Value"
"1",2000,"BINGHAM",0.137401649,74,28.9735099337748,375
"2",2000,"JEFFERSON",0.049212625,24,30.1864406779661,345
"3",2000,"MADISON",0.081102406,61,25.6324786324786,315
"4",2000,"TETON",0.451575047,92,26.3179190751445,215
"5",2001,"BINGHAM",0.079133901,67,31.0714285714286,332
"6",2001,"JEFFERSON",0.03543309,30,33.4745762711864,339
"7",2001,"MADISON",0.01968505,51,27.69,311
"8",2001,"TETON",0.304330873,91,26.6107784431138,225
"9",2002,"BINGHAM",0.189763882,82,28.8445945945946,335
"10",2002,"JEFFERSON",0.029527575,30,28.6140350877193,355
"11",2002,"MADISON",0.087795323,38,22.8625,330
"12",2002,"TETON",0.533071154,98,23.9479768786127,250
"13",2003,"BINGHAM",0.088582725,83,29.0235294117647,325
"14",2003,"JEFFERSON",0.041338605,27,31.5454545454545,333
"15",2003,"MADISON",0.086220519,60,25.1181818181818,310
"16",2003,"TETON",0.164960719,81,25.2839506172839,233
"17",2004,"BINGHAM",0.131102433,106,28.7175141242938,370
"18",2004,"JEFFERSON",0.017716545,32,32.8135593220339,380
"19",2004,"MADISON",0.072834685,69,26.697247706422,320
"20",2004,"TETON",0.445669532,107,25.2317073170732,247
"21",2005,"BINGHAM",0.197244201,87,26.7359550561798,346
"22",2005,"JEFFERSON",0.079133901,30,30.35,385
"23",2005,"MADISON",0.148425277,41,23.9878048780488,319
"24",2005,"TETON",0.57480346,85,22.8809523809524,235
"25",2006,"BINGHAM",0.135433144,83,25.6140350877193,362
"26",2006,"JEFFERSON",0.117716599,27,29.6,389
"27",2006,"MADISON",0.198819005,44,23.8625,337
"28",2006,"TETON",0.38582698,103,22.864406779661,257
"29",2007,"BINGHAM",0.333858448,102,25.9411764705882,346
"30",2007,"JEFFERSON",0.01968505,33,30.0545454545455,426
"31",2007,"MADISON",0.136220546,49,24.7261904761905,321
"32",2007,"TETON",0.537008164,99,21.9829545454545,249
"33",2008,"BINGHAM",0.094881941,74,24.9874213836478,367
"34",2008,"JEFFERSON",0.03543309,28,27.5873015873016,391
"35",2008,"MADISON",0.129133928,33,22.3734939759036,319
"36",2008,"TETON",0.54724439,69,20.3459119496855,246
"37",2009,"BINGHAM",0.174409543,100,24.2456140350877,385
"38",2009,"JEFFERSON",0.038188997,65,25.0909090909091,472
"39",2009,"MADISON",0.098031549,47,22.4938271604938,381
"40",2009,"TETON",0.528740443,85,22.6329113924051,276
"41",2010,"BINGHAM",0.271259989,87,25.8181818181818,367
"42",2010,"JEFFERSON",0.146850473,45,25.9058823529412,412
"43",2010,"MADISON",0.279134009,62,24.4864864864865,323
"44",2010,"TETON",0.472047499,84,22.8333333333333,215
"45",2011,"BINGHAM",0.379134063,71,25.3728813559322,384
"46",2011,"JEFFERSON",0.194881995,52,23.8333333333333,471
"47",2011,"MADISON",0.290157637,73,21.9425287356322,367
"48",2011,"TETON",0.557480616,78,21.747191011236,233
"49",2012,"BINGHAM",0.083858313,104,29.0222222222222,406
"50",2012,"MADISON",0.120078805,94,28.4157303370787,385
"51",2012,"TETON",0.17716545,98,26.6761363636364,285
"52",2013,"BINGHAM",0.097637848,80,25.7277777777778,395
"53",2013,"MADISON",0.133464639,80,26.5611111111111,369
"54",2014,"BINGHAM",0.274015896,125,26.7653631284916,400
"55",2014,"MADISON",0.268897783,126,25.9611111111111,384
"56",2015,"BINGHAM",0.09448824,135,24.9277777777778,391
"57",2015,"MADISON",0.210630035,136,24.7666666666667,379
"58",2016,"BINGHAM",0.20866153,100,26.0949720670391,409
